id	name	type	exmet	exmetnames
rxn02005	trehalose transport via PEP:Pyr PTS	4.Group translocators	cpd00794[e0]	TRHL
rxn05145	phosphate-transporting ATPase	3.Primary active transporters	cpd00009[e0]	Phosphate
rxn05146	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00023[e0]	L-Glutamate
rxn05147	D-Glucose-ABC transport	3.Primary active transporters	cpd00027[e0]	D-Glucose
rxn05148	Heme transport via ABC system	3.Primary active transporters	cpd00028[e0]	Heme
rxn05150	zinc transport via ABC system	3.Primary active transporters	cpd00034[e0]	Zn2+
rxn05151	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00039[e0]	L-Lysine
rxn05152	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00041[e0]	L-Aspartate
rxn05153	sulfate-transporting ATPase	3.Primary active transporters	cpd00048[e0]	Sulfate
rxn05154	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00051[e0]	L-Arginine
rxn05155	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00053[e0]	L-Glutamine
rxn05156	ornithine transport via ABC system	3.Primary active transporters	cpd00064[e0]	Ornithine
rxn05157	Urea-ABC transport	3.Primary active transporters	cpd00073[e0]	Urea
rxn05158	ATP phosphohydrolase (glycerol-3-phosphate-importing)	3.Primary active transporters	cpd00080[e0]	Glycerol-3-phosphate
rxn05159	choline transport via ABC system	3.Primary active transporters	cpd00098[e0]	Choline
rxn05160	monosaccharide-transporting ATPase	3.Primary active transporters	cpd00105[e0]	D-Ribose
rxn05161	nonpolar-amino-acid-transporting ATPase	3.Primary active transporters	cpd00107[e0]	L-Leucine
rxn05162	D-galactose transport via ABC system	3.Primary active transporters	cpd00108[e0]	Galactose
rxn05163	putrescine transport via ABC system	3.Primary active transporters	cpd00118[e0]	Putrescine
rxn05164	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00119[e0]	L-Histidine
rxn05165	nonpolar-amino-acid-transporting ATPase	3.Primary active transporters	cpd00129[e0]	L-Proline
rxn05166	RXNBWI-115367.ce	3.Primary active transporters	cpd00149[e0]	Co2+
rxn05167	D-xylose transport via ABC system	3.Primary active transporters	cpd00154[e0]	Xylose
rxn05168	nonpolar-amino-acid-transporting ATPase	3.Primary active transporters	cpd00156[e0]	L-Valine
rxn05169	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00161[e0]	L-Threonine
rxn05170	TRANS-RXNAVI-26732.ce.brachyexp.CPD-3609_CPD-3609	3.Primary active transporters	cpd00179[e0]	Maltose
rxn05171	nitrate-transporting ATPase	3.Primary active transporters	cpd00209[e0]	Nitrate
rxn05172	ATP phosphohydrolase (taurine-importing)	3.Primary active transporters	cpd00210[e0]	Taurine
rxn05173	L-arabinose transport via ABC system	3.Primary active transporters	cpd00224[e0]	L-Arabinose
rxn05174	nickel transport via ABC system	3.Primary active transporters	cpd00244[e0]	Ni2+
rxn05175	spermidine transport via ABC system	3.Primary active transporters	cpd00264[e0]	Spermidine
rxn05176	thiosulfate transport via ABC system	3.Primary active transporters	cpd00268[e0]	H2S2O3
rxn05177	thiamine transport via ABC system	3.Primary active transporters	cpd00305[e0]	Thiamin
rxn05178	D-Aspartate-ABC transport	3.Primary active transporters	cpd00320[e0]	D-Aspartate
rxn05179	nonpolar-amino-acid-transporting ATPase	3.Primary active transporters	cpd00322[e0]	L-Isoleucine
rxn05180	Carnitine-ABC transport	3.Primary active transporters	cpd00266[e0]	Carnitine
rxn05181	Glycine betaine transport via ABC system	3.Primary active transporters	cpd00540[e0]	BET
rxn05182	Tungsten ABC transport	3.Primary active transporters	cpd00560[e0]	Tungsten
rxn05183	D-methionine transport via ABC system	3.Primary active transporters	cpd00637[e0]	D-Methionine
rxn05184	Choline ABC transport	3.Primary active transporters	cpd00681[e0]	Choline sulfate
rxn05185	monosaccharide-transporting ATPase	3.Primary active transporters	cpd01055[e0]	D-Allose
rxn05187	Vitamin ABC transport	3.Primary active transporters	cpd03424[e0]	Vitamin B12
rxn05188	ferrichrome transport via ABC system	3.Primary active transporters	cpd03724[e0]	Ferrichrome
rxn05189	Fe(III)dicitrate-ABC transport	3.Primary active transporters	cpd03725[e0]	Fe(III)dicitrate
rxn05190	Fe-enterobactin-ABC transport	3.Primary active transporters	cpd03726[e0]	Fe-enterochlin
rxn05191	Alkylphosphonate ABC transport	3.Primary active transporters	cpd03729[e0]	Alkylphosphonate
rxn05192	Crotono-betaine ABC transport	3.Primary active transporters	cpd08305[e0]	crotonobetaine
rxn05193	Butyro-betaine ABC transport	3.Primary active transporters	cpd08306[e0]	Butyro-betaine
rxn05194	2-(beta-D-Glucosyl)-sn-glycerol ABC transport	3.Primary active transporters	cpd08376[e0]	2-(beta-D-Glucosyl)-sn-glycerol
rxn05195	ATP phosphohydrolase (ferric-ion-transporting)	3.Primary active transporters	cpd10516[e0]	fe3
rxn05196	Glutamine-ABC transport	3.Primary active transporters	cpd00253[e0]	Glutamine
rxn05197	Uracil permease	2.Electrochemical potential-driven transporters	cpd00092[e0]	Uracil
rxn05198	Transport of cytidine, extracellular	2.Electrochemical potential-driven transporters	cpd00367[e0]	Cytidine
rxn05199	Uridine permease	2.Electrochemical potential-driven transporters	cpd00249[e0]	Uridine
rxn05200	Transport of thymidine, extracellular	2.Electrochemical potential-driven transporters	cpd00184[e0]	Thymidine
rxn05201	TRANS-RXNBWI-115572.ce.maizeexp.HYPOXANTHINE_HYPOXANTHINE	2.Electrochemical potential-driven transporters	cpd00226[e0]	HYXN
rxn05202	TRANS-RXN-206.ce	2.Electrochemical potential-driven transporters	cpd00309[e0]	XAN
rxn05203	TRANS-RXNBWI-115572.ce.maizeexp.GUANINE_GUANINE	2.Electrochemical potential-driven transporters	cpd00207[e0]	Guanine
rxn05204	TRANS-RXNBWI-115572.ce.maizeexp.GUANOSINE_GUANOSINE	2.Electrochemical potential-driven transporters	cpd00311[e0]	Guanosine
rxn05205	Transport of deoxycytidine, extracellular	2.Electrochemical potential-driven transporters	cpd00654[e0]	Deoxycytidine
rxn05207	Na+/malate symporter	2.Electrochemical potential-driven transporters	cpd00130[e0]	L-Malate
rxn05208	Na+ lactate / malate H+ antiporter	2.Electrochemical potential-driven transporters	cpd00130[e0];cpd00221[e0]	L-Malate;D-Lactate
rxn05210	phosphate Na+ symporter	2.Electrochemical potential-driven transporters	cpd00009[e0]	Phosphate
rxn05211	Transport of citrate, extracellular	2.Electrochemical potential-driven transporters	cpd00137[e0]	Citrate
rxn05213	citrate-Ca2+:H+ symporter	2.Electrochemical potential-driven transporters	cpd00063[e0];cpd00137[e0]	Ca2+;Citrate
rxn05214	Citrate-Mg2+:H+ symporter	2.Electrochemical potential-driven transporters	cpd00137[e0];cpd00254[e0]	Citrate;Mg
rxn05215	Alanine-Sodium symporter	2.Electrochemical potential-driven transporters	cpd00035[e0]	L-Alanine
rxn05216	Na+ Glutamine symporter	2.Electrochemical potential-driven transporters	cpd00053[e0]	L-Glutamine
rxn05217	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE	2.Electrochemical potential-driven transporters	cpd00041[e0]	L-Aspartate
rxn05218	TRANS-RXNBWI-115362.ce.maizeexp.GLY_GLY	Diffusion	cpd00033[e0]	Glycine
rxn05219	nonpolar-amino-acid-transporting ATPase	3.Primary active transporters	cpd00060[e0]	L-Methionine
rxn05220	TRANS-RXNBWI-115362.ce.maizeexp.ASN_ASN	Diffusion	cpd00132[e0]	L-Asparagine
rxn05221	Na+/Proline-L symporter	2.Electrochemical potential-driven transporters	cpd00129[e0]	L-Proline
rxn05222	RXN66-449.ce	Diffusion	cpd00065[e0]	L-Tryptophan
rxn05223	Biotin ABC transporter	3.Primary active transporters	cpd00104[e0]	BIOT
rxn05224	Riboflavin permease	2.Electrochemical potential-driven transporters	cpd00220[e0]	Riboflavin
rxn05225	glucose/mannose:H+ permease	2.Electrochemical potential-driven transporters	cpd00027[e0];cpd00138[e0]	D-Glucose;D-Mannose
rxn05226	D-glucose transport via PEP:Pyr PTS	4.Group translocators	cpd00027[e0]	D-Glucose
rxn05237	ATP phosphohydrolase (polar-amino-acid-importing)	3.Primary active transporters	cpd00084[e0]	L-Cysteine
rxn05240	L-leucine transport in via sodium symport	2.Electrochemical potential-driven transporters	cpd00107[e0]	L-Leucine
rxn05241	L-isoleucine transport in via sodium symport	2.Electrochemical potential-driven transporters	cpd00322[e0]	L-Isoleucine
rxn05242	L-valine transport in via sodium symport	2.Electrochemical potential-driven transporters	cpd00156[e0]	L-Valine
rxn05243	TRANS-RXNBWI-115637.ce.maizeexp.LEU_LEU	2.Electrochemical potential-driven transporters	cpd00107[e0]	L-Leucine
rxn05244	TRANS-RXNBWI-115637.ce.maizeexp.ILE_ILE	2.Electrochemical potential-driven transporters	cpd00322[e0]	L-Isoleucine
rxn05255	folate transport via proton simport	2.Electrochemical potential-driven transporters	cpd00393[e0]	Folate
rxn05292	TRANS-RXNBWI-115528.ce	Diffusion	cpd10516[e0]	fe3
rxn05297	TRANS-RXNBWI-115637.ce.maizeexp.GLT_GLT	2.Electrochemical potential-driven transporters	cpd00023[e0]	L-Glutamate
rxn05298	Na+/glutamate symport	2.Electrochemical potential-driven transporters	cpd00023[e0]	L-Glutamate
rxn05299	TRANS-RXNBWI-115637.ce.maizeexp.HIS_HIS	2.Electrochemical potential-driven transporters	cpd00119[e0]	L-Histidine
rxn05300	TRANS-RXNBWI-115637.ce.maizeexp.THR_THR	2.Electrochemical potential-driven transporters	cpd00161[e0]	L-Threonine
rxn05301	TRANS-RXNBWI-115637.ce.maizeexp.TYR_TYR	2.Electrochemical potential-driven transporters	cpd00069[e0]	L-Tyrosine
rxn05303	TRANS-RXNBWI-115637.ce.maizeexp.ARG_ARG	2.Electrochemical potential-driven transporters	cpd00051[e0]	L-Arginine
rxn05305	L-lysine transport out via proton antiport reversible	2.Electrochemical potential-driven transporters	cpd00039[e0]	L-Lysine
rxn05306	TRANS-RXNBWI-115637.ce.maizeexp.PHE_PHE	2.Electrochemical potential-driven transporters	cpd00066[e0]	L-Phenylalanine
rxn05307	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER	2.Electrochemical potential-driven transporters	cpd00054[e0]	L-Serine
rxn05308	Pantothenate reversible transport via proton symport	2.Electrochemical potential-driven transporters	cpd00644[e0]	PAN
rxn05310	Nicotinate transport (Plasma membrane)	Diffusion	cpd00218[e0]	Niacin
rxn05312	Inorganic phosphate transporter	2.Electrochemical potential-driven transporters	cpd00009[e0]	Phosphate
rxn05313	phosphate transport in/out via three Na+ symporter	2.Electrochemical potential-driven transporters	cpd00009[e0]	Phosphate
rxn05315	ZN2t4	2.Electrochemical potential-driven transporters	cpd00034[e0];cpd00205[e0]	Zn2+;K+
rxn05316	TRANS-RXNBWI-115572.ce.maizeexp.INOSINE_INOSINE	2.Electrochemical potential-driven transporters	cpd00246[e0]	Inosine
rxn05317	Transport of deoxyadenosine, extracellular	2.Electrochemical potential-driven transporters	cpd00438[e0]	Deoxyadenosine
rxn05318	TRANS-RXN-203.ce	2.Electrochemical potential-driven transporters	cpd00182[e0]	Adenosine
rxn05319	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH	Diffusion	cpd00001[e0]	H2O
rxn05466	TRANS-RXN-173.ce	Diffusion	cpd00013[e0]	NH3
rxn05467	CO2 transporter via diffusion	Diffusion	cpd00011[e0]	CO2
rxn05468	TRANS-RXNAVI-26568.ce	Diffusion	cpd00007[e0]	O2
rxn05469	pyruvate reversible transport via proton symport	2.Electrochemical potential-driven transporters	cpd00020[e0]	Pyruvate
rxn05470	glycolate transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00139[e0]	Glycolate
rxn05471	TRANS-RXNBWI-115572.ce.maizeexp.GMP_GMP	2.Electrochemical potential-driven transporters	cpd00126[e0]	GMP
rxn05472	2-(hydroxymethyl)phenol transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd01553[e0]	Saligenin
