compounds,name,maxFlux
cpd17042,DNA-replication-c0,100
cpd17043,RNA-transcription-c0,100
cpd17041,Protein-biosynthesis-c0,100
cpd00067,H-plus-e0,100
cpd00106,Fumarate-e0,100
cpd00036,Succinate-e0,100
cpd04097,Pb-e0,100
cpd11585,L-alanylglycine-e0,100
cpd11582,ala-L-Thr-L-e0,100
cpd11586,ala-L-glu-L-e0,100
cpd01030,Salicin-e0,100
cpd01012,Cd2-plus-e0,100
cpd00276,GLUM-e0,100
cpd00082,D-Fructose-e0,100
cpd00080,Glycerol-3-phosphate-e0,100
cpd00058,Cu2-plus-e0,100
cpd00107,L-Leucine-e0,100
cpd00314,D-Mannitol-e0,100
cpd01017,Cys-Gly-e0,100
cpd00013,NH3-e0,100
cpd11578,hexanesulfonate-e0,100
cpd00179,Maltose-e0,100
cpd11591,Gly-Met-e0,100
cpd00009,Phosphate-e0,100
cpd00034,Zn2-plus-e0,100
cpd11593,ala-L-asp-L-e0,100
cpd00076,Sucrose-e0,100
cpd11579,ethanesulfonate-e0,100
cpd01171,Dulcose-e0,100
cpd00210,Taurine-e0,100
cpd15605,Gly-Phe-e0,100
cpd00264,Spermidine-e0,100
cpd00122,N-Acetyl-D-glucosamine-e0,100
cpd15603,Gly-Cys-e0,100
cpd03696,Ursin-e0,100
cpd00118,Putrescine-e0,100
cpd11580,Gly-Gln-e0,100
cpd00224,L-Arabinose-e0,100
cpd01262,Amylotriose-e0,100
cpd00588,Sorbitol-e0,100
cpd00254,Mg-e0,100
cpd00138,D-Mannose-e0,100
cpd03048,Isethionate-e0,100
cpd11596,butanesulfonate-e0,100
cpd15606,Gly-Tyr-e0,100
cpd10516,fe3-e0,100
cpd00531,Hg2-plus-e0,100
cpd11583,Ala-Leu-e0,100
cpd00395,L-Cysteate-e0,100
cpd11589,gly-asp-L-e0,100
cpd00027,D-Glucose-e0,100
cpd11575,MOPS-e0,100
cpd00794,TRHL-e0,100
cpd09878,Sulfoacetate-e0,100
cpd11588,gly-pro-L-e0,100
cpd00048,Sulfate-e0,100
cpd01329,Maltohexaose-e0,100
cpd15604,Gly-Leu-e0,100
cpd00322,L-Isoleucine-e0,100
cpd00205,K-plus-e0,100
cpd00030,Mn2-plus-e0,100
cpd00098,Choline-e0,100
cpd11592,gly-glu-L-e0,100
cpd08023,methanesulfonate-e0,100
cpd11587,Ala-Gln-e0,100
cpd11590,met-L-ala-L-e0,100
cpd00156,L-Valine-e0,100
cpd11581,gly-asn-L-e0,100
cpd11584,Ala-His-e0,100
cpd11416,Biomass-c0,100
cpd00063,Ca2-plus-e0,100
cpd00136,4-Hydroxybenzoate-e0,100
cpd01080,ocdca-e0,100
cpd00516,meso-2-6-Diaminopimelate-e0,100
cpd00149,Co2-plus-e0,100
cpd01188,Lanosterol-e0,100
cpd00220,Riboflavin-e0,100
cpd03847,Myristic-acid-e0,100
cpd00006,NADP-e0,100
cpd00793,Thiamine-phosphate-e0,100
cpd00028,Heme-e0,100
cpd00115,dATP-e0,100
cpd00099,Cl-e0,100
cpd00241,dGTP-e0,100
cpd00010,CoA-e0,100
cpd00038,GTP-e0,100
cpd00311,Guanosine-e0,100
cpd11606,Menaquinone-7-e0,100
cpd00011,CO2-c0,100
cpd00007,O2-c0,100
cpd11640,H2-c0,100
cpd00001,H2O-c0,100
cpd00363,Ethanol-c0,100
cpd00055,Formaldehyde-c0,100
cpd01861,cpd01861[c0],100
cpd00453,cpd00453[c0],100
cpd00150,HCN-c0,100
cpd00025,H2O2-c0,100
cpd00359,indol-c0,100
cpd00811,cpd00811[c0],100
cpd12733,cpd12733[c0],100
cpd00371,cpd00371[c0],100
cpd00418,cpd00418[c0],100
cpd00659,cpd00659[c0],100
cpd11574,cpd11574[c0],100
cpd00448,D-Glyceraldehyde-c0,100
cpd00450,cpd00450[c0],100
cpd08021,cpd08021[c0],100
cpd00071,Acetaldehyde-c0,100
cpd00281,GABA-c0,100
cpd03828,cpd03828[c0],100
